id,name,membersQuantity,teamsQuantity
1,"ROUBA BANDEIRA",12,2
2,"BOLICHE COOP",10,4
3,FUTSAL,18,2
4,"CORRIDA 4 EQUIPES",12,4
5,"DERRUBA TORA",8,2
6,"NAT TRAVESSIA DO RIO 4 EQUIPES",4,4
7,"NAT CAÇA TESOURO 4 EQUIPES",4,4
8,"DANÇA DA LARANJA _ TODOS",1,4
9,"ESGRIMA _ TODOS",1,4
10,"DERRUBA CONE _ TODOS",1,2
11,"CABO DE GUERRA _ TODOS",1,2
12,"QUEIMADA S CRUZA _ TODOS",1,2
13,"LIMPA QUADRA _ TODOS",1,2
14,QUEIMADA_TODOS,1,2
15,"JOGO DOS 5 PASSES",18,2
16,"SUMÔ DE ALMOFADA",8,2
17,"BOLICHE COOP 3ANO",10,5
18,"CORRIDA 5 EQUIPES",12,5
19,"NAT CAÇA AO TESOURO 5 EQUIPES",4,5
20,"NAT TRAVESSIA DO RIO 5 EQUIPES",4,5
21,"DANÇA DA LARANJA 3 ANO _TODOS",1,5
22,"ACERTANDO O ALVO",16,2
23,XADREZ_PARTICIPATIVO,10,5
24,"ROUBA COCAR",12,2
25,"FUTEBOL DE INDIO",18,2
26,BASQUETE,18,2
27,PING-PÉ,9,2
28,"BALL ROYALE",12,2
29,"PEGADOR CEGO",4,5
30,"PIQUE BALL",16,2
31,FUTPEGA,16,2
32,"GUERRA DE ALMOFADAS",8,2
33,"NAT NATAÇÃO",4,5
34,"DANÇA DOS COLCHONETES",6,5
35,"QUEIMADA 2 BOLAS _ TODOS",1,2
36,"QUEBRA CABEÇA COOPERATIVO _ TODOS",1,5
37,"VOLEIBOLÃO _ TODOS",1,2
38,"DARDO 5 EQUIPES",4,5
39,"PETECA COOPERATIVA",16,5
40,"JOGO DAS BOLINHAS",6,5
41,"QUEBRA CABEÇA 5 EQUIPES",6,5
